模型ID,public_id,名称,厂商,任务,关联端点,数量控制,比例,比例基线尺寸,分辨率档位,自定义尺寸,输出格式,参考图输入,选项字段,布尔字段,整数字段,数值字段,文本字段,系统提示词,官方必填参数,目录未暴露的官方参数,与官方默认值差异
fal-ai/z-image/turbo,z-image-turbo,Alibaba / Z Image Turbo,alibaba,text-to-image,fal-ai/z-image/turbo/image-to-image,1~4 张（字段 num_images）,1:1、16:9、9:16、4:3、3:4；默认 4:3,1:1=1024x1024；16:9=1280x720；9:16=720x1280；4:3=1024x768；3:4=768x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,acceleration：none/regular/high（默认 regular）,sync_mode；enable_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed；num_inference_steps（1~8）,,,,prompt,,enable_safety_checker 本地默认 false（官方 true）；enable_prompt_expansion 本地默认 true（官方 false）
fal-ai/z-image/turbo/image-to-image,z-image-turbo/edit,Alibaba / Z Image Turbo Edit,alibaba,image-to-image,fal-ai/z-image/turbo,1~4 张（字段 num_images）,1:1、16:9、9:16、4:3、3:4；默认 4:3,1:1=1024x1024；16:9=1280x720；9:16=720x1280；4:3=1024x768；3:4=768x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,字段 image_url（最多 1 张）,acceleration：none/regular/high（默认 regular）,sync_mode；enable_safety_checker（默认 false）；enable_prompt_expansion（默认 false）,seed；num_inference_steps（1~8）,,,,prompt、image_url,strength(number(-∞~1，默认0.6)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/z-image/base,z-image-base,Alibaba / Z Image Base,alibaba,text-to-image,,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 4:3,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,acceleration：none/regular/high（默认 regular）,sync_mode；enable_safety_checker（默认 false）,seed；num_inference_steps（1~50）,,negative_prompt,,prompt,guidance_scale(number(1~20，默认4)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/qwen-image-max/text-to-image,qwen-image-max,Alibaba / Qwen Image Max,alibaba,text-to-image,fal-ai/qwen-image-max/edit,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,,sync_mode；enable_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed,,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/qwen-image-max/edit,qwen-image-max/edit,Alibaba / Qwen Image Max Edit,alibaba,image-to-image,fal-ai/qwen-image-max/text-to-image,1~6 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 3 张）,,sync_mode；enable_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed,,negative_prompt,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/qwen-image-2/pro/text-to-image,qwen-image-2-pro,Alibaba / Qwen Image 2 Pro,alibaba,text-to-image,fal-ai/qwen-image-2/pro/edit,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,,sync_mode；enable_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed,,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/qwen-image-2/pro/edit,qwen-image-2-pro/edit,Alibaba / Qwen Image 2 Pro Edit,alibaba,image-to-image,fal-ai/qwen-image-2/pro/text-to-image,1~6 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 3 张）,,sync_mode；enable_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed,,negative_prompt,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/qwen-image-2/text-to-image,qwen-image-2,Alibaba / Qwen Image 2,alibaba,text-to-image,fal-ai/qwen-image-2/edit,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,,sync_mode；enable_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed,,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/qwen-image-2/edit,qwen-image-2/edit,Alibaba / Qwen Image 2 Edit,alibaba,image-to-image,fal-ai/qwen-image-2/text-to-image,1~6 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 1:1,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 3 张）,,sync_mode；enable_safety_checker（默认 false）；enable_prompt_expansion（默认 true）,seed,,negative_prompt,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/qwen-image-2512,qwen-image-2512,Alibaba / Qwen Image 2512,alibaba,text-to-image,,1~4 张（字段 num_images）,16:9、4:3、9:16、3:4、1:1；默认 4:3,16:9=1280x720；4:3=1024x768；9:16=720x1280；3:4=768x1024；1:1=1024x1024,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,acceleration：none/regular/high（默认 regular）,sync_mode；enable_safety_checker（默认 false）,seed；num_inference_steps（1~50）,,negative_prompt,,prompt,guidance_scale(number(0~20，默认4)),enable_safety_checker 本地默认 false（官方 true）
